,0,1
1830,in,federal
1831,federal,funds
1832,funds,''
1833,'',","
1834,",",the
1835,the,state
1836,state,board
1837,board,of
1838,of,education
1839,education,should
1840,should,be
1841,be,direct
1842,direct,to
1843,to,``
1844,``,give
1845,give,priority
1846,priority,''
1847,'',to
1848,to,teacher
1849,teacher,pay
1850,pay,raise
1851,raise,.
1852,--,after
1853,after,a
1854,a,long
1855,long,","
1856,",",hot
1857,hot,controversy
1858,controversy,","
1859,",",miller
1860,miller,county
1861,county,ha
1862,ha,a
1863,a,new
1864,new,school
1865,school,superintendent
1866,superintendent,","
1867,",",elect
1868,elect,","
1869,",",as
1870,as,a
1871,a,policeman
1872,policeman,put
1873,put,it
1874,it,","
1875,",",in
1876,in,the
1877,the,``
1878,``,cool
1879,cool,election
1880,election,i
1881,i,ever
1882,ever,saw
1883,saw,in
1884,in,this
1885,this,county
1886,county,''
1887,'',.
1888,the,new
1889,new,school
1890,school,superintendent
1891,superintendent,be
1892,be,harry
1893,harry,davis
1894,davis,","
1895,",",a
1896,a,veteran
1897,veteran,agriculture
1898,agriculture,teacher
1899,teacher,","
1900,",",who
1901,who,defeated
1902,defeated,felix
1903,felix,bush
1904,bush,","
1905,",",a
1906,a,school
1907,school,principal
1908,principal,and
1909,and,chairman
1910,chairman,of
1911,of,the
1912,the,miller
1913,miller,county
1914,county,democratic
1915,democratic,executive
1916,executive,committee
1917,committee,.
1918,davis,receive
1919,receive,"1,119"
1920,"1,119",vote
1921,vote,in
1922,in,saturday's
1923,saturday's,election
1924,election,","
1925,",",and
1926,and,bush
1927,bush,get
1928,get,402
1929,402,.
1930,ordinary,carey
1931,carey,williams
1932,williams,","
1933,",",arm
1934,arm,with
1935,with,a
1936,a,pistol
1937,pistol,","
1938,",",stand
1939,stand,by
1940,by,at
1941,at,the
1942,the,polls
1943,polls,to
1944,to,insure
1945,insure,order
1946,order,.
1947,``,this
1948,this,wa
1949,wa,the
1950,the,cool
1951,cool,","
1952,",",calm
1953,calm,election
1954,election,i
1955,i,ever
1956,ever,saw
1957,saw,''
1958,'',","
1959,",",colquitt
1960,colquitt,policeman
1961,policeman,tom
1962,tom,williams
1963,williams,say
1964,say,.
1965,``,being
1966,being,at
1967,at,the
1968,the,polls
1969,polls,wa
1970,wa,just
1971,just,like
1972,like,being
1973,being,at
1974,at,church
1975,church,.
1976,i,didn't
1977,didn't,smell
1978,smell,a
1979,a,drop
1980,drop,of
1981,of,liquor
1982,liquor,","
1983,",",and
1984,and,we
1985,we,didn't
1986,didn't,have
1987,have,a
1988,a,bit
1989,bit,of
1990,of,trouble
1991,trouble,''
1992,'',.
1993,the,campaign
1994,campaign,leading
1995,leading,to
1996,to,the
1997,the,election
1998,election,wa
1999,wa,not
2000,not,so
2001,so,quiet
2002,quiet,","
2003,",",however
2004,however,.
2005,it,wa
2006,wa,mark
2007,mark,by
2008,by,controversy
2009,controversy,","
2010,",",anonymous
2011,anonymous,midnight
2012,midnight,phone
2013,phone,call
2014,call,and
2015,and,veil
2016,veil,threat
2017,threat,of
2018,of,violence
2019,violence,.
2020,the,former
2021,former,county
2022,county,school
2023,school,superintendent
2024,superintendent,","
2025,",",george
2026,george,p.
2027,p.,callan
2028,callan,","
2029,",",shot
2030,shot,himself
2031,himself,to
2032,to,death
2033,death,march
2034,march,18
2035,18,","
2036,",",four
2037,four,days
2038,days,after
2039,after,he
2040,he,resign
2041,resign,his
2042,his,post
2043,post,in
2044,in,a
2045,a,dispute
2046,dispute,with
2047,with,the
2048,the,county
2049,county,school
2050,school,board
2051,board,.
2052,during,the
2053,the,election
2054,election,campaign
2055,campaign,","
2056,",",both
2057,both,candidate
2058,candidate,","
2059,",",davis
2060,davis,and
2061,and,bush
2062,bush,","
2063,",",reportedly
2064,reportedly,receive
2065,receive,anonymous
2066,anonymous,telephone
2067,telephone,call
2068,call,.
2069,ordinary,williams
2070,williams,say
2071,say,he
2072,he,","
2073,",",too
2074,too,","
2075,",",wa
2076,wa,subject
2077,subject,to
2078,to,anonymous
2079,anonymous,call
2080,call,soon
2081,soon,after
2082,after,he
2083,he,schedule
2084,schedule,the
2085,the,election
2086,election,.
2087,many,local
2088,local,citizen
2089,citizen,fear
2090,fear,that
2091,that,there
2092,there,would
2093,would,be
2094,be,irregularity
2095,irregularity,at
2096,at,the
2097,the,polls
2098,polls,","
2099,",",and
2100,and,williams
2101,williams,get
2102,get,himself
2103,himself,a
2104,a,permit
2105,permit,to
2106,to,carry
2107,carry,a
2108,a,gun
2109,gun,and
2110,and,promise
2111,promise,an
2112,an,orderly
2113,orderly,election
2114,election,.
2115,sheriff,felix
2116,felix,tabb
2117,tabb,say
2118,say,the
2119,the,ordinary
2120,ordinary,apparently
2121,apparently,make
2122,make,good
2123,good,his
2124,his,promise
2125,promise,.
2126,``,everything
2127,everything,go
2128,go,real
2129,real,smooth
2130,smooth,''
2131,'',","
2132,",",the
2133,the,sheriff
2134,sheriff,say
2135,say,.
2136,``,there
2137,there,wasn't
2138,wasn't,a
2139,a,bit
2140,bit,of
2141,of,trouble
2142,trouble,''
2143,'',.
2144,austin,","
2145,",",texas
2146,--,committee
2147,committee,approval
2148,approval,of
2149,of,gov.
2150,gov.,price
2151,price,daniel's
2152,daniel's,``
2153,``,abandon
2154,abandon,property
2155,property,''
2156,'',act
2157,act,seem
2158,seem,certain
2159,certain,thursday
2160,thursday,despite
2161,despite,the
2162,the,adamant
2163,adamant,protest
2164,protest,of
2165,of,texas
2166,texas,banker
2167,banker,.
